oa_code,All households,Owned,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Social rented,Social rented: Rented from council (Local authority),Social rented: Other social rented,Private rented,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of a household member,Private rented: Other,Living rent free
S00131258,51,34,8,26,-,14,14,-,3,2,-,1,-,-
S00131259,48,40,20,18,2,6,6,-,1,1,-,-,-,1
S00131260,44,27,12,15,-,7,7,-,7,6,-,1,-,3
S00131261,46,38,16,22,-,5,5,-,2,2,-,-,-,1
S00131262,60,33,11,22,-,12,12,-,14,14,-,-,-,1
S00131263,45,35,15,20,-,6,6,-,4,4,-,-,-,-
S00131264,45,37,15,22,-,6,6,-,2,2,-,-,-,-
S00131265,49,40,19,21,-,6,6,-,3,3,-,-,-,-
S00131266,48,29,14,15,-,8,5,3,11,11,-,-,-,-
S00131267,50,41,21,20,-,7,7,-,2,2,-,-,-,-
S00131268,40,32,20,12,-,7,7,-,1,1,-,-,-,-
S00131269,42,16,7,9,-,14,12,2,12,11,-,1,-,-
S00131270,57,47,26,21,-,7,7,-,3,3,-,-,-,-
S00131271,40,27,10,17,-,9,8,1,3,3,-,-,-,1
S00131272,66,46,12,34,-,18,17,1,2,2,-,-,-,-
S00131273,40,27,9,18,-,11,7,4,2,2,-,-,-,-
S00131274,38,30,13,17,-,3,3,-,4,4,-,-,-,1
S00131275,65,34,18,15,1,22,21,1,9,7,-,2,-,-
S00131276,63,39,14,25,-,15,15,-,9,9,-,-,-,-
S00131277,64,44,13,31,-,12,10,2,8,7,-,1,-,-
S00131278,59,44,16,28,-,12,11,1,2,2,-,-,-,1
S00131279,64,25,3,22,-,30,29,1,7,7,-,-,-,2
S00131280,42,35,15,20,-,6,6,-,1,1,-,-,-,-
S00131281,69,57,22,35,-,7,7,-,5,5,-,-,-,-
S00131282,38,35,17,17,1,1,1,-,2,2,-,-,-,-
S00131283,57,41,21,20,-,8,5,3,8,8,-,-,-,-
S00131284,50,46,18,28,-,2,2,-,2,2,-,-,-,-
S00131285,44,30,10,20,-,7,6,1,6,6,-,-,-,1
S00131286,26,26,12,14,-,-,-,-,-,-,-,-,-,-
S00131287,40,31,7,24,-,4,2,2,4,3,-,1,-,1
S00131288,67,66,28,38,-,1,1,-,-,-,-,-,-,-
S00131289,48,24,9,15,-,7,5,2,17,15,-,2,-,-
S00131290,44,24,7,17,-,7,7,-,13,12,-,1,-,-
S00131291,53,53,27,26,-,-,-,-,-,-,-,-,-,-
